2025-11-14 10:09:10,617 - INFO - 로그인 응답 코드:
2025-11-14 10:09:10,617 - INFO - 200
2025-11-14 10:09:10,617 - INFO - 서버가 준 쿠키:
2025-11-14 10:09:10,617 - INFO - <RequestsCookieJar[<Cookie JSESSIONID=AA496C389F72C2BB985F3616578CBD7E for fms.owlsgrp.co.kr/owls-fms-admin>]>
2025-11-14 10:09:10,639 - INFO - 로그인 응답 코드:
2025-11-14 10:09:10,639 - INFO - 200
2025-11-14 10:09:10,639 - INFO - 장비 개수:
2025-11-14 10:09:10,639 - INFO - 29
2025-11-14 10:09:10,645 - INFO - port   vehicle_number       ip_address        id                             client_id
0  51908     경기 수원 거 7502     37.17.191.68  EAE28066  d3471980-9964-4fc9-979c-c3c0e84ae279
1  43043  포르자350 블랙 세팅 차량  130.195.194.247  F1086AAE  cfa71676-57ec-4371-8a7b-d032235aeedc
2  51431     경기 수원 너 3633  193.181.246.127  CB16F562  db3a6900-6c9e-4eb0-bbd2-5136e794b2a6
3  55992     경기 수원 너 3432  130.195.194.238  C79651FC  c73df97f-4651-464f-b233-ac0c475bdf06
4  41752     경기 수원 거 5286     5.35.166.165  C56CE8A4  4f36886d-b5fd-4403-a5ca-251b97b952fc
2025-11-14 10:09:10,646 - INFO - Index(['port', 'vehicle_number', 'ip_address', 'id', 'client_id'], dtype='object')
2025-11-14 10:09:10,649 - INFO - port   vehicle_number       ip_address        id                             client_id
0   51908     경기 수원 거 7502     37.17.191.68  EAE28066  d3471980-9964-4fc9-979c-c3c0e84ae279
1   43043  포르자350 블랙 세팅 차량  130.195.194.247  F1086AAE  cfa71676-57ec-4371-8a7b-d032235aeedc
2   51431     경기 수원 너 3633  193.181.246.127  CB16F562  db3a6900-6c9e-4eb0-bbd2-5136e794b2a6
3   55992     경기 수원 너 3432  130.195.194.238  C79651FC  c73df97f-4651-464f-b233-ac0c475bdf06
4   41752     경기 수원 거 5286     5.35.166.165  C56CE8A4  4f36886d-b5fd-4403-a5ca-251b97b952fc
5   61756              미지정     37.17.191.68  EBD1EB91  d840fe31-b0f1-412d-9a84-5097e224edb3
6   53092     경기 수원 거 8174   195.226.133.61  D4B32825  27ab68c7-4ade-458f-b0eb-5997008309a8
7    8085     경기 수원 거 4891   195.226.133.40  CA02EF4C  301c1f9c-806c-428e-8cbc-0c39e194f7d2
8   56398     경기 수원 거 4926   195.226.133.39  D905D5F6  b1f6e154-0e86-486e-a83e-66fc73d4673d
9   25317     경기 수원 거 5295   195.226.133.59  E1C3ED9B  72043e5c-266a-4a17-9677-cbb5b0c1c81f
10  56446     경기 수원 거 5749     37.17.191.68  FE7ACC2E  0e06a3ca-f3af-463e-b627-9814d1b062d8
11  51031     경기 수원 너 3524  193.181.246.248  C4BC2DA0  6b408fb7-3b22-4da8-88ed-b7a5be2699ce
12  62476     경기 수원 거 5812   195.226.133.40  EF27C628  ac475ca8-5473-4ee9-8161-c36a3a44721f
13  40197     경기 수원 너 0378  130.195.194.245  F39F0132  ab877a53-398c-4a5c-b551-8317fdbbd7a1
14  27968     경기 수원 거 4897   195.226.133.46  FC633C52  fa99aa43-2196-43bb-bd8d-0c76d3754a8b
15  51401     경기 수원 너 3790   193.181.246.14  FDE7D9D9  41efb667-ebc8-469a-947a-3f37643e112a
16  64336     경기 수원 거 9019     37.17.191.68  D8E32357  d38a9409-8a0a-4158-bd81-e6229f8a6c44
17  25063     경기 수원 거 4974     5.35.166.164  FAD1AF1B  a7ab3796-d364-4074-91ca-cd2f0ec017a7
18  49232     경기 수원 거 9533     37.17.191.68  FD1D0C84  b3764d25-7ffe-4695-a22c-a064de67e669
19  62090     경기 수원 거 5801     37.17.191.68  E0459619  892c2cc6-e48e-47da-b68f-e47edef82e81
20  49538     경기 수원 거 5852     37.17.191.68  C65F5A56  76bf2d58-9fcf-4d47-8ba5-4f3fbeaf8cbb
21  49878     경기 수원 거 5936   195.226.133.38  F570581E  f6173e7c-6d5b-47d0-aa87-1760789a70db
22  58802     경기 수원 거 5715   195.226.133.39  F69D703A  4b624bf8-ece0-4afa-925f-1605d5821cd3
23  57442     경기 수원 거 7627     37.17.191.68  D4CB32FA  6ac75a9d-3b08-474c-9c11-a6505e11e60a
24  55712     경기 수원 거 5830   195.226.133.37  F433B5A4  39c1483e-ff30-4ff1-9050-29888d279187
25  62318              미지정   195.226.133.43  E9A5C773  616ad3f4-b6e4-4016-a2e3-2c5eda4c79f7
26  62557     경기 수원 거 5250   195.226.133.37  D3992722  1ae5ef97-8941-49cf-acc2-81d206f9329e
27  61407     경기 수원 거 4935     5.35.166.166  C18986BD  adcff889-8763-4765-89a2-6ef0082ad00d
28  35574     경기 수원 거 5791   195.226.133.37  D1B1E85A  b61680ee-7fc4-4ac5-8c83-fa43a203cd9e
